总分,1、 您是否知晓本问卷仅用于研究，并自愿参与本次调查?,2、 您的性别是?,3、 您目前的年龄是?,4、 您目前所在年级是?,5、 您的专业类别更接近:,6、 您成长过程中长期居住地更接近:,7、 您是否为独生子女?,8、 您目前的情感状态是?,9、 您父母目前的婚姻状况更接近:,10、 您对大学期间谈恋爱的总体态度是?,11、 您目前是否有恋爱意愿?,12、 如果您选择恋爱，最主要的原因是什么?,13、 如果您目前不太想恋爱，最主要的原因是什么?,14、 您目前的学业、实习或就业压力对您的恋爱意愿影响如何?,15、 在选择恋爱或结婚对象时，您最看重的因素是?,16、 当“感情契合”与“现实条件（如经济、家庭背景、发展规划等）”发生冲突时，您更倾向于:,17、 在亲密关系中，您更倾向于哪种相处模式?,18、 您对婚姻的总体态度是?,19、 您是否认同“人生不一定非要结婚”?,20、 以下哪项最符合您对“恋爱、结婚、生育”关系的看法?,21、 您未来是否有结婚打算?,22、 您未来是否有生育打算?,23、 您在社交媒体上接触婚恋、婚姻或生育相关内容的频率如何?,24、 网络内容整体上对您的婚恋或婚育观影响程度如何?,25、 您是否关注过以下与婚恋婚育相关的社会讨论?,26、25B.您对以下非传统婚恋/家庭模式的接受程度如何?—“周末夫妻”（因工作分居两地，周末相聚）,26、“两头婚”（夫妻独立居住，孩子分别姓）,26、只恋爱不结婚的长期稳定伴侣关系,26、合约婚姻（约定固定期限，到期协商续约）,26、AI伴侣/虚拟恋爱,27、 以下哪类社会现实最容易影响您对结婚的判断?,28、 以下哪类社会现实最容易影响您对生育的判断?,29、28A. 您认为结婚的较重要前提有哪些?,30、29A. 如果未来考虑生育，您认为什么条件较为重要?,31、30A. 您对“先立业后成家”这一观念的态度是?,32、31A. 您理想中的结婚年龄大致是:,33、32A. 您如何看待“男主外、女主内”的家庭分工模式?,34、33A. 在理想的亲密关系或婚姻中，您认为以下哪些方面应尽量平等?,35、34A. 对未来婚姻或生育，您最主要的顾虑是什么?,36、28B. 您认为结婚的较重要前提有哪些?,37、29B. 您不想生育的最主要原因是什么?,38、30B. 如果未来伴侣希望生育，而您暂时不想生育，您更可能:,39、31B. 您是否担心来自父母或社会的催育压力?,40、32B. 您如何看待“男主外、女主内”的家庭分工模式?,41、33B. 在理想的亲密关系或婚姻中，您认为以下哪些方面应尽量平等?,42、34B. 对未来婚姻，您最主要的顾虑是什么?,43、28C. 您认为生育是否必须以婚姻为前提?,44、29C. 如果不结婚，您理想中的育儿支持主要来自哪里?,45、30C. 您未来如果考虑生育，最重要的条件是什么?,46、31C. 您对非传统家庭形式抚育子女的接受程度如何?,47、32C. 您最担心的不结婚但生育会面临的现实障碍是?,48、33C. 在理想的亲密关系或家庭关系中，您认为以下哪些方面应尽量平等?,49、34C. 对未来生育，您最主要的顾虑是什么?,50、28D. 您目前倾向不婚不育，更接近于:,51、29D. 您不想结婚的最主要原因是什么?,52、30D. 您不想生育的最主要原因是什么?,53、31D. 您最看重不婚不育可能带来的什么?,54、32D. 您是否担心来自家庭或社会的催婚催育压力?,55、33D. 您认为不婚不育会影响未来生活质量吗?,56、34D. 您如何看待社会上对“不婚不育”的评价?,57、28E. 您目前对结婚或生育持犹豫态度，最主要是因为:,58、29E. 哪些条件变化会提高您未来对结婚的意愿?,59、30E. 哪些条件变化会提高您未来对生育的意愿?,60、31E. 您目前更担心以下哪一方面?,61、32E. 如果未来现实条件改善，您更可能:,62、35M. 您是否担心结婚需要承担较大的经济责任（如住房、彩礼、养家等）?,63、36M. 您是否感到社会对男性在婚恋中“应承担更多经济与责任”的期待较强?,64、35F. 您是否担心婚育会对女性的身体健康、心理状态或职业发展造成较大影响?,65、36F. 您是否担心婚后家务与育儿责任更多落在女性身上?,66、35O. 您是否感到当前社会中的婚恋与婚育期待会对个人造成较大压力?,67、36O. 您是否认为当前主流婚恋婚育观对不同个体的生活选择足够包容?,68、如果您对当代大学生的婚育观念或者现在的婚育制度建设还有什么问题或建议，请您写在此处：
0,A. 是，我同意继续作答,B. 女,B. 18 岁,A. 大一,D. 工学类,C. 三四线城市,A. 是,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,C. 一般,C. 一般,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),A. 基本没有影响,A. 性格合拍┋D. 外貌吸引力┋K. 其他:〖1.秉性善良的同时还能葆有独特个性 2.同频〗,D. 略偏向感情契合,B. 保持亲密，同时保留独立空间,C. 顺其自然,A. 非常认同,E. 不恋爱、不结婚、不生育也可以是合理选择,C. 说不清，顺其自然,C. 说不清，顺其自然,D. 较少,A. 几乎没有影响,B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论,(跳过),(跳过),(跳过),(跳过),(跳过),C. 家务分工与情感劳动不平等┋E. 职业发展与婚姻责任冲突,B. 生育带来的身体负担与恢复压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G. 其他:〖并没有犹豫不决，对爱情婚姻比较浪漫化理想化，且认为其不是必选项〗,A. 遇到合适的人,F. 不确定,E. 暂时没有明显担心,D. 仍可能保持现在想法,(跳过),(跳过),B. 比较担心,F.(选填)对于“婚育责任更多由女性承担”这一现象，您认为改变的关键在于:〖潜移默化宣传新观念，鼓励男性回归家庭。减少故意挑起对立的内容，缓解内卷〗,(跳过),(跳过),"无
ps.30.31E想选择生育损伤，可惜没有此项（C似乎更偏向职业发展与经济），建议加上，祝好"
11,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,C. 理学类,D. 县城/城镇,B. 否,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,C. 一般,C. 一般,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),E. 使我暂时基本不考虑恋爱,A. 性格合拍┋D. 外貌吸引力┋J. 忠诚专一,E. 明显优先考虑感情契合,A. 高度陪伴、频繁联系,B. 比较向往,C. 一般,F. 还不确定,C. 说不清，顺其自然,C. 说不清，顺其自然,D. 较少,B. 有一点影响,A. 彩礼与嫁妆争议┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,中立,完全不能接受,不太能接受,完全不能接受,比较能接受,G. 暂无明显影响,B. 生育带来的身体负担与恢复压力┋C. 育儿时间精力投入大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 还没有认真考虑过,A. 遇到合适的人,B. 有可靠的伴侣与照料支持┋E. 自己身心状态更适合,A. 恋爱关系的不确定性,B. 更倾向结婚但未必生育,C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,B. 18 岁,A. 大一,D. 工学类,A. 一线城市,A. 是,A. 单身，且没有恋爱经历,E. 不清楚/不便回答,B. 比较支持,D. 较弱,(跳过),C. 享受单身生活┋D. 没有遇到合适的人,B. 有一点影响,B. 三观一致┋C. 情绪稳定┋J. 忠诚专一,D. 略偏向感情契合,B. 保持亲密，同时保留独立空间,C. 顺其自然,B. 比较认同,E. 不恋爱、不结婚、不生育也可以是合理选择,C. 说不清，顺其自然,C. 说不清，顺其自然,B. 比较频繁,B. 有一点影响,A. 彩礼与嫁妆争议┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本┋F. 网络舆论对婚姻的负面呈现,G. 暂无明显影响,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 还没有认真考虑过,A. 遇到合适的人┋E. 社会环境更友好,F. 不确定,A. 恋爱关系的不确定性,D. 仍可能保持现在想法,C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
0,B. 否，我不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
0,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,D. 工学类,D. 县城/城镇,B. 否,C. 恋爱中,A. 婚姻稳定，关系较好,A. 非常支持,B. 较强,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,D. 外貌吸引力┋J. 忠诚专一,B. 略偏向现实条件,B. 保持亲密，同时保留独立空间,C. 顺其自然,A. 非常认同,E. 不恋爱、不结婚、不生育也可以是合理选择,B. 大概率会有,E. 明确没有,D. 较少,A. 几乎没有影响,I. 我基本没关注过相关话题,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本,A. 生育及育儿经济成本高┋B. 生育带来的身体负担与恢复压力,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 有稳定感情基础,D. 对生育或育儿过程存在心理顾虑┋E. 不认为婚姻必须以生育为前提,B. 愿意进一步商量，但不轻易改变,D. 不太担心,C. 一般,D. 双方职业发展机会┋E. 情绪支持与精神付出,D. 婚后个人自由空间被压缩,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,B. 18 岁,A. 大一,D. 工学类,B. 新一线/二线城市,B. 否,B. 单身，但有恋爱经历,A. 婚姻稳定，关系较好,C. 一般,D. 较弱,(跳过),B. 恋爱需要投入较多时间和精力┋D. 没有遇到合适的人,B. 有一点影响,A. 性格合拍┋H. 上进心与责任感┋I. 兴趣爱好相近,C. 两者同样重要,B. 保持亲密，同时保留独立空间,C. 顺其自然,B. 比较认同,A. 恋爱、结婚、生育通常是较自然的人生发展路径,C. 说不清，顺其自然,C. 说不清，顺其自然,C. 一般,B. 有一点影响,E. 离婚冷静期、婚姻法相关话题┋H. 网络上的“恐婚”“恐育”讨论,(跳过),(跳过),(跳过),(跳过),(跳过),E. 职业发展与婚姻责任冲突,G. 暂无明显影响,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 还没有认真考虑过┋E. 担心未来关系和责任压力,A. 遇到合适的人,B. 有可靠的伴侣与照料支持┋E. 自己身心状态更适合,A. 恋爱关系的不确定性,E. 说不清,C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
20,A. 是，我同意继续作答,B. 女,B. 18 岁,A. 大一,D. 工学类,B. 新一线/二线城市,A. 是,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,B. 三观一致┋C. 情绪稳定┋H. 上进心与责任感,B. 略偏向现实条件,D. 视具体对象而定,D. 比较谨慎,A. 非常认同,E. 不恋爱、不结婚、不生育也可以是合理选择,C. 说不清，顺其自然,D. 大概率没有,A. 非常频繁,C. 影响较大,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋F. 托育、育儿成本与教育内卷┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,比较能接受,中立,完全能接受,比较能接受,比较能接受,B. 离婚率上升或负面婚姻案例┋C. 家务分工与情感劳动不平等,B. 生育带来的身体负担与恢复压力┋E. 子女照顾责任可能分配不均,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 非常担心,A. 非常担心,(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,B. 经管法类,D. 县城/城镇,B. 否,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,B. 比较支持,E. 完全没有,(跳过),D. 没有遇到合适的人,B. 有一点影响,A. 性格合拍┋F. 家庭背景┋G. 学历/能力,A. 明显优先考虑现实条件,B. 保持亲密，同时保留独立空间,C. 顺其自然,C. 一般,A. 恋爱、结婚、生育通常是较自然的人生发展路径,A. 明确有,A. 明确有,C. 一般,A. 几乎没有影响,D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本┋F. 网络舆论对婚姻的负面呈现,A. 生育及育儿经济成本高┋F. 社会支持体系不够完善,A. 双方足够了解┋F. 有基本居住保障┋G. 双方家庭基本认可,A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋D. 有较可靠的照料支持,C. 一般,F. 不确定,C. 一般,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,A. 感情变淡或关系不稳定┋E. 经济压力较大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),好好学习 奔赴红场
13,A. 是，我同意继续作答,B. 女,C. 19 岁,A. 大一,D. 工学类,E. 农村,B. 否,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),A. 基本没有影响,A. 性格合拍┋B. 三观一致┋C. 情绪稳定,C. 两者同样重要,A. 高度陪伴、频繁联系,A. 非常向往,A. 非常认同,E. 不恋爱、不结婚、不生育也可以是合理选择,B. 大概率会有,C. 说不清，顺其自然,C. 一般,B. 有一点影响,D. 不婚不育、晚婚晚育相关讨论┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,中立,不太能接受,中立,中立,不太能接受,B. 离婚率上升或负面婚姻案例┋D. 婚后与双方家庭相处压力,C. 育儿时间精力投入大┋F. 社会支持体系不够完善,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,C. 稳定收入或经济基础┋E. 自己身心状态适合┋G. 良好的育儿与教育条件,B. 比较认同,C. 26—27 岁,E. 完全不认同,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,E. 经济压力较大┋F. 双方家庭关系处理困难,A. 双方足够了解┋G. 双方家庭基本认可┋H. 三观一致,D. 对生育或育儿过程存在心理顾虑┋E. 不认为婚姻必须以生育为前提,B. 愿意进一步商量，但不轻易改变,B. 比较担心,E. 完全不认同,A. 收入与经济支配┋B. 家务劳动┋C. 家庭重大决策┋D. 双方职业发展机会┋E. 情绪支持与精神付出,A. 感情变淡或关系不稳定┋D. 婚后个人自由空间被压缩,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较担心,(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,D. 工学类,D. 县城/城镇,B. 否,A. 单身，且没有恋爱经历,A. 婚姻稳定，关系较好,C. 一般,D. 较弱,(跳过),B. 恋爱需要投入较多时间和精力┋G. 曾有不愉快经历,D. 影响很大,B. 三观一致┋F. 家庭背景┋J. 忠诚专一,B. 略偏向现实条件,B. 保持亲密，同时保留独立空间,D. 比较谨慎,B. 比较认同,F. 还不确定,C. 说不清，顺其自然,C. 说不清，顺其自然,C. 一般,C. 影响较大,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋C. 男性婚恋中的经济压力（如购房、彩礼、养家）,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本┋E. 职业发展与婚姻责任冲突,C. 育儿时间精力投入大┋D. 托育、教育资源压力大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 现实条件尚不明确,A. 遇到合适的人┋B. 经济条件更稳定,A. 经济条件更稳定┋E. 自己身心状态更适合,A. 恋爱关系的不确定性,E. 说不清,A. 非常担心,A. 非常强,(跳过),(跳过),(跳过),(跳过),(空)
0,B. 否，我不同意,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
0,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,D. 工学类,C. 三四线城市,B. 否,C. 恋爱中,A. 婚姻稳定，关系较好,B. 比较支持,B. 较强,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,B. 三观一致┋D. 外貌吸引力┋J. 忠诚专一,C. 两者同样重要,B. 保持亲密，同时保留独立空间,C. 顺其自然,B. 比较认同,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,C. 说不清，顺其自然,C. 一般,C. 影响较大,A. 彩礼与嫁妆争议┋B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论┋E. 离婚冷静期、婚姻法相关话题┋F. 托育、育儿成本与教育内卷┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论,(跳过),(跳过),(跳过),(跳过),(跳过),C. 家务分工与情感劳动不平等┋E. 职业发展与婚姻责任冲突,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,B. 有稳定感情基础┋E. 有稳定收入┋H. 三观一致,A. 稳定的感情/婚姻关系┋B. 双方对是否生育有一致意见┋C. 稳定收入或经济基础,B. 比较认同,D. 28—30 岁,C. 一般,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,A. 感情变淡或关系不稳定┋E. 经济压力较大,A. 双方足够了解┋E. 有稳定收入┋H. 三观一致,A. 经济压力较大┋C. 担心影响个人发展与生活节奏,B. 愿意进一步商量，但不轻易改变,C. 一般,C. 一般,A. 收入与经济支配┋B. 家务劳动┋C. 家庭重大决策┋D. 双方职业发展机会┋E. 情绪支持与精神付出,A. 感情变淡或关系不稳定┋E. 经济压力较大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,D. 工学类,D. 县城/城镇,B. 否,F. 其他,A. 婚姻稳定，关系较好,A. 非常支持,B. 较强,G. 其他:〖就是喜欢她〗,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致┋C. 情绪稳定,A. 明显优先考虑现实条件,A. 高度陪伴、频繁联系,B. 比较向往,C. 一般,A. 恋爱、结婚、生育通常是较自然的人生发展路径,B. 大概率会有,B. 大概率会有,B. 比较频繁,A. 几乎没有影响,A. 彩礼与嫁妆争议,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本,A. 生育及育儿经济成本高,A. 双方足够了解,A. 稳定的感情/婚姻关系,A. 非常认同,A. 23 岁及以下,A. 非常认同,C. 子女照顾责任,C. 子女照顾责任失衡,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C. 一般,C. 一般,(跳过),(跳过),(跳过),(跳过),(空)
0,A. 是，我同意继续作答,A. 男,D. 20 岁,A. 大一,D. 工学类,C. 三四线城市,B. 否,D. 正在接触/暧昧中,A. 婚姻稳定，关系较好,A. 非常支持,A. 很强,A. 寻找能够长期发展的伴侣┋B. 获得情感支持与理解,(跳过),B. 有一点影响,A. 性格合拍┋B. 三观一致,D. 略偏向感情契合,A. 高度陪伴、频繁联系,C. 顺其自然,C. 一般,B. 可以恋爱并结婚，但不一定生育,C. 说不清，顺其自然,D. 大概率没有,A. 非常频繁,D. 影响很大,C. 男性婚恋中的经济压力（如购房、彩礼、养家）┋F. 托育、育儿成本与教育内卷,(跳过),(跳过),(跳过),(跳过),(跳过),A. 婚礼、彩礼、购房等经济成本┋D. 婚后与双方家庭相处压力,C. 育儿时间精力投入大┋D. 托育、教育资源压力大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较强,(跳过),(跳过),(跳过),(跳过),无
10,A. 是，我同意继续作答,B. 女,B. 18 岁,A. 大一,B. 经管法类,D. 县城/城镇,B. 否,F. 其他,C. 已离异/分居,A. 非常支持,D. 较弱,(跳过),A. 学业/工作压力较大┋G. 曾有不愉快经历,D. 影响很大,B. 三观一致┋D. 外貌吸引力┋H. 上进心与责任感,B. 略偏向现实条件,B. 保持亲密，同时保留独立空间,C. 顺其自然,C. 一般,F. 还不确定,B. 大概率会有,B. 大概率会有,B. 比较频繁,B. 有一点影响,B. 女性生育成本与职业发展冲突┋D. 不婚不育、晚婚晚育相关讨论┋G. 全职妈妈/全职爸爸与家庭分工争议┋H. 网络上的“恐婚”“恐育”讨论┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,不太能接受,中立,不太能接受,不太能接受,完全不能接受,C. 家务分工与情感劳动不平等┋E. 职业发展与婚姻责任冲突,B. 生育带来的身体负担与恢复压力┋D. 托育、教育资源压力大,A. 双方足够了解┋B. 有稳定感情基础┋H. 三观一致,A. 稳定的感情/婚姻关系┋C. 稳定收入或经济基础┋G. 良好的育儿与教育条件,B. 比较认同,C. 26—27 岁,D. 不太认同,A. 收入与经济支配┋B. 家务劳动┋C. 子女照顾责任┋D. 家庭重大决策┋E. 双方职业发展机会┋F. 情绪支持与精神付出,B. 家务分工不公平┋F. 双方家庭关系处理困难,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B. 比较担心,B. 比较担心,(跳过),(跳过),(空)
13,A. 是，我同意继续作答,A. 男,C. 19 岁,A. 大一,D. 工学类,B. 新一线/二线城市,A. 是,D. 正在接触/暧昧中,A. 婚姻稳定，关系较好,B. 比较支持,C. 一般,B. 获得情感支持与理解┋C. 享受恋爱关系本身的体验,(跳过),B. 有一点影响,A. 性格合拍┋G. 学历/能力┋I. 兴趣爱好相近,C. 两者同样重要,B. 保持亲密，同时保留独立空间,C. 顺其自然,A. 非常认同,E. 不恋爱、不结婚、不生育也可以是合理选择,C. 说不清，顺其自然,C. 说不清，顺其自然,E. 几乎没有,C. 影响较大,D. 不婚不育、晚婚晚育相关讨论┋F. 托育、育儿成本与教育内卷┋I. AI伴侣、虚拟恋爱等新技术伦理讨论,中立,完全不能接受,比较能接受,完全不能接受,比较能接受,A. 婚礼、彩礼、购房等经济成本┋D. 婚后与双方家庭相处压力,A. 生育及育儿经济成本高┋C. 育儿时间精力投入大,(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A. 还没有认真考虑过┋B. 现实条件尚不明确,A. 遇到合适的人┋B. 经济条件更稳定,A. 经济条件更稳定┋B. 有可靠的伴侣与照料支持,A. 恋爱关系的不确定性,A. 更倾向结婚和生育,D. 不太担心,A. 非常强,(跳过),(跳过),(跳过),(跳过),-_-
